query_id,query,hotel_id,hotel_name,location,retrieved_by,rank_hybrid,score_hybrid,category_matched,descriptor_matched,location_matched,relevance,note
Q1,khách sạn giá rẻ ở đà lạt,3000010042556,The Grace Hotel Dalat,Lâm Đồng,hybrid,1,8.163550,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,9000000817630,Pontus Hotel,Lâm Đồng,hybrid,2,7.425212,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,3000020010764,The Luxe Hotel Dalat,Lâm Đồng,hybrid,3,7.029402,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,3000020015788,Minh Chien Hotel,Lâm Đồng,hybrid,4,6.755455,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,9000001207029,Khách sạn Goldient Boutique,Lâm Đồng,hybrid,5,6.599370,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,3000020003055,Empress Da Lat Hotel,Lâm Đồng,hybrid,6,5.749946,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,1000000490882,Terracotta Hotel & Resort Dalat,Lâm Đồng,hybrid,7,5.573877,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,9000000975119,TTR Skypool View Hotel,Lâm Đồng,hybrid,8,5.499355,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,3000020020070,New Life Hotel Dalat,Lâm Đồng,hybrid,9,5.430767,True,True,True,1,location_and_intent_match
Q1,khách sạn giá rẻ ở đà lạt,3000010030822,Le Recit Boutique Hotel de Dalat,Lâm Đồng,hybrid,10,5.178362,True,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,3000020016046,HillSide Sapa,Lào Cai,hybrid,1,6.244831,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,9000000095241,Sapa Eco Villas & Spa,Lào Cai,hybrid,2,6.172078,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,9000000925361,Sapa Cat Cat Hills Resort & Spa,Lào Cai,hybrid,3,5.838192,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,1000000470833,Hotel Sapa Square Affiliated by Meliá,Sa Pa,hybrid,4,5.817524,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,3000020000718,Pao's Sapa Leisure Hotel,Lào Cai,hybrid,5,5.770319,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,3000020006744,Sapa Clover Hotel,Lào Cai,hybrid,6,5.738189,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,3000020004882,Golden Town Sapa,Lào Cai,hybrid,7,5.726232,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,1000000513951,Amazing Hotel Sapa,Lào Cai,hybrid,8,5.706251,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,3000010026143,Sapa Jade Hill Resort And Spa,Lào Cai,hybrid,9,5.702507,False,True,True,1,location_and_intent_match
Q2,homestay bình dân tại sapa,9000000181875,KK Sapa Hotel,Lào Cai,hybrid,10,5.666057,False,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,3000010033024,Tom Hill Boutique Resort and Spa - Sea View,Phú Quốc,hybrid,1,9.343902,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,3000020017782,Radisson Blu Resort Phu Quoc,Phú Quốc,hybrid,2,9.151055,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000000434682,Sunset Beach Resort & Spa - Beachfront Pirate Fire Show,Phú Quốc,hybrid,3,8.134994,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000000890249,Vinholidays Fiesta Phu Quoc,Phú Quốc,hybrid,4,6.306340,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,3000020018435,Best Western Premier Sonasea Phu Quoc,Phú Quốc,hybrid,5,5.782447,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000001152652,Wyndham Garden Grandworld Phu Quoc,Phú Quốc,hybrid,6,2.784245,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000001086188,La Festa Phu Quoc  Curio Collection by Hilton,Phú Quốc,hybrid,7,1.054123,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000000985383,The Tahiti Beach Hotel Phu Quoc,Phú Quốc,hybrid,8,0.929906,True,True,True,1,location_and_intent_match
Q3,resort 5 sao sang trọng ở phú quốc,9000000473518,Stellar Hotel Phu Quoc,Phú Quốc,hybrid,9,0.840595,True,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000002452279,Libré Homestay,Hà Nội,hybrid,1,5.900486,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,3000020015251,Granda Suites Hanoi,Hà Nội,hybrid,2,5.641571,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,1000000448912,Hanoi Brilliant Hotel and Spa,Hà Nội,hybrid,3,5.510403,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,1000000709562,Lotus Village Hotel Hanoi,Hà Nội,hybrid,4,5.331604,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000003314202,Le Grand Hanoi Hotel - The Central Park,Hà Nội,hybrid,5,5.253473,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000000973982,3T Hotel Hanoi,Hà Nội,hybrid,6,5.196343,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,3000010024108,Eternity Hotel Hanoi,Hà Nội,hybrid,7,5.046251,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000000326462,Old Quarter Hotel 1961,Hà Nội,hybrid,8,5.035697,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000002446773,Crescendo Urban Stay,Hà Nội,hybrid,9,5.025666,False,True,True,1,location_and_intent_match
Q4,chỗ ở tiết kiệm gần trung tâm hà nội,9000001039894,22land Residence Hotel 71 Hang Bong,Hà Nội,hybrid,10,5.003096,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,9000000928831,La Vague Hotel Nha Trang,Khánh Hòa,hybrid,1,6.747000,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,3000020003605,Majestic Premium Hotel,Khánh Hòa,hybrid,2,6.740406,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,2000000285030,Ruby Luxury Hotel,Khánh Hòa,hybrid,3,6.689084,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,3000020011428,Comodo Nha Trang Hotel,Khánh Hòa,hybrid,4,6.412037,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,1000000435835,Muong Thanh Grand Nha Trang Hotel,Khánh Hòa,hybrid,5,6.117883,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,9000000874232,Masova Hotel,Nha Trang,hybrid,6,6.003728,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,3000020019413,Vesna Hotel Nha Trang,Khánh Hòa,hybrid,7,5.985275,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,3000020002678,Melissa Hotel Nha Trang,Khánh Hòa,hybrid,8,5.872203,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,3000020018320,Libra Hotel Nha Trang,Khánh Hòa,hybrid,9,5.778724,False,True,True,1,location_and_intent_match
Q5,khách sạn cao cấp view đẹp nha trang,1000000430754,Sun City Hotel Nha Trang,Khánh Hòa,hybrid,10,5.694327,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,9000000416386,RHM Luxury Hotel And Suite,Thành Phố Đà Nẵng,hybrid,1,6.012764,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,1000000413455,Quoc Cuong Center Da Nang Hotel by Haviland,Thành Phố Đà Nẵng,hybrid,2,5.950124,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,9000000099388,Chicland Hotel Danang,Thành Phố Đà Nẵng,hybrid,3,5.605529,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,3000020011694,Orchide'es Ocean Hotel,Thành Phố Đà Nẵng,hybrid,4,5.353880,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,9000000809267,Gold Plaza Hotel Da Nang,Thành Phố Đà Nẵng,hybrid,5,5.321120,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,3000020012109,Melia Vinpearl Danang Riverfront,Thành Phố Đà Nẵng,hybrid,6,5.259074,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,3000010031123,Adina Hotel,Thành Phố Đà Nẵng,hybrid,7,5.123040,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,9000000985575,Record Hotel,Thành Phố Đà Nẵng,hybrid,8,5.042581,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,9000000303891,Glamour Hotel Da Nang,Thành Phố Đà Nẵng,hybrid,9,4.901282,False,True,True,1,location_and_intent_match
Q6,phòng dorm cho sinh viên ở đà nẵng,1000000441652,Muong Thanh Grand Da Nang Hotel,Thành Phố Đà Nẵng,hybrid,10,4.721079,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,9000000961953,Premier Pearl Hotel Vung Tau,Vũng Tàu,hybrid,1,5.833217,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,9000003303985,Victory Vung Tau Hotel (New Wing),Vũng Tàu,hybrid,2,5.541328,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,9000000730242,Fusion Suites Vung Tau,Vũng Tàu,hybrid,3,5.312954,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,9000001202368,Palace Long Hai Resort,Vũng Tàu,hybrid,4,5.307618,False,True,True,1,location_and_intent_match
