bucket_id,query_id,query,hotel_id,hotel_name,hotel_location,bm25_rank,vector_rank,hybrid_rank,top_review_1,top_review_2,top_review_3,relevant
bucket_1_short,Q001,khách sạn 5 sao,1000000503956,Doha Central Bliss Danang Hotel by Haviland,Thành Phố Đà Nẵng,,10,1,"Các chú bảo vệ rất nhiệt tình, đáng khen","Nhân viên Toi, Tinh, Nghia, Nu, Linh, Hieu, Yen, Phuc nhiệt tình chu đáo","Huệ, Tới, Khánh, Linh, Phúc nhiệt tình. Phòng 1404",
bucket_1_short,Q001,khách sạn 5 sao,1000000440516,Eden Plaza Danang,Thành Phố Đà Nẵng,,8,,"Khách sạn tiện, gần trung tâm!","Gần sân bay, rộng, sạch, rẻ, thuận tiện đi lại",Địa điểm tiện để đi chơi và ăn uống. Khách sạn dọn dẹp vệ sinh sạch sẽ,
bucket_1_short,Q001,khách sạn 5 sao,1000000581127,Minh Kieu Hotel My Tho,Tiền Giang,,9,,Khách sạn sạch sẽ và đẹp như hình. Phục vụ chu đáo,"Máy lạnh không đủ mát, nóng cả đêm không ngũ được.",quá ồn ào. khách sạn không có cách âm. đêm khuya mà cửa đập rầm rầm. nhân viên cũng không nhắc nhở phải im lặng. cả đêm không ngủ được 12h đêm tới sáng lúc nào cũng ồn ào,
bucket_1_short,Q001,khách sạn 5 sao,1000000326999,Khách sạn Sheraton Nha Trang,Khánh Hòa,8,,8,"Nhân viên rất thân thiện, phòng ốc sạch sẽ nhưng không gian chưa được thoải mái.","Mình đi mùng 4 tết đông quá nên đi thang máy hơi lâu, ở lầu 24 đi xuống trệt dừng chục lần😂 còn lại ok 🥰","Phòng quá chật chội, vật chất cũ kỹ không thay mới, không xứng đáng với mark Khách sạn 5 sao tí nào. Trải nghiệm khách sạn 5 sao tệ nhất của tôi từ trước tới nay!",
bucket_1_short,Q001,khách sạn 5 sao,1000000469198,Minh Toan Galaxy,Thành Phố Đà Nẵng,,1,,"Ks phòng rất sạch sẽ, nhân viên nhiệt tình chu đáo",Khó tìm ra được điểm nào để chê anh em ạ !,"Nv nhiệt tình , phòng sạch sẽ, lần sau sẽ quay lại",
bucket_1_short,Q001,khách sạn 5 sao,3000010034587,Hoi An Canal House Riverside By Haviland,Hội An,10,,9,Phòng tớ đặt khá ok duy nhất là phòng tắm hơi bé. Còn lại mọi thứ ok,"Đồ ăn ngon, nhân viên nhiệt tình. Phòng sạch sẽ view đẹp","Phòng đẹp, nhân viên thân thiện cực, nhất là chú bảo vệ. Tuy nhiên về đồ ăn sáng do mình có việc cần ra Hội An sớm nên có nhờ nhà hàng take away 2 hộp mì xào bò (bữa sáng bao gồm). Đến quán cafe ở Hội",
bucket_1_short,Q001,khách sạn 5 sao,3000010038661,Khách sạn VeeVoo Vũng Tàu,Vũng Tàu,9,,10,"Chủ dễ thương, 10 điểm, có thể sẽ ghé lại","Phòng tôi ở sạch đẹp thoáng, chị lễ tân thân thiện, đặc biệt vòi xịt siêu mạnh. Vị trí gần quảng trường và tháp, nhiều khu vực ăn uống và gần các cửa hàng tiện lợi","Phòng sạch sẽ, nhân viên nhiệt tình. Trong phân khúc này rất sạch nhé.",
bucket_1_short,Q001,khách sạn 5 sao,9000000876237,Muong Thanh Luxury Saigon Hotel,TP Hồ Chí Minh,4,,4,Phòng ok ❤️ nhân viên vui vẻ ❤️,"phong 10 điểm nha , sạch sẽ , thơm , dịch vụ tốt , đồ ăn sáng thì bình thường . khách tour nước ngoài đông và ồn vào buổi sáng 1 chút thôi","Khách sạn đẹp, phòng thoáng rộng rãi, đồ ăn sáng ngon… Mình nhất định sẽ quay lại.",
bucket_1_short,Q001,khách sạn 5 sao,3000020017982,Muong Thanh Luxury Khanh Hoa,Khánh Hòa,6,,6,"Lần thứ 2 trở lại mình thấy có vẻ như không tốt như trước. Thức ăn buffet dở không ngon. Trước đi cổng chính, giờ khách sạn dời về cổng phụ, cảm giác không được ok như trước nữa. Hơi xuống cấp. Hi vọn","Nhân viên nhiệt tình, cho check out trễ, đổi hạng phòng cao hơn, view phòng đẹp","Phòng ốc rộng, có view tuyệt vời, rất đáng đồng tiền. Sẽ ghé lại nếu có dịp.",
bucket_1_short,Q001,khách sạn 5 sao,1000000421749,Green Hotel Vung Tau,Vũng Tàu,,3,,"Tivi không mở được internet không có âm thanh không xem được gì cả
Wifi thì yếu xìu không xài được
phong ở đối diện phòng nhân viên nói chuyện rất ồn ào lớn tiếng.","Phòng bị mưa tạt, nước thấm tường tràn vào bên trong. Nhà vệ sinh dơ và có mùi hôi khó chịu, đèn trong phòng cũng bị hư. Nhân viên lễ tân phục vụ kém. Khi check-out còn nhắc khách lần sau phải giữ gìn","Nhân viên nhiệt tình. Có 1 bạn nhân viên nam cho mình đổi phòng để có view đẹp, mà quên mất tên bạn đó rồi. Ăn sáng cũng cơ bản thôi nhưng sạch sẽ. Đối diện biển nên đi tắm biển rất dễ. Có điều ban đê",
