query_id	query	hotel_id	hotel_name	location	retrieved_by	rank_bm25	rank_vector	rank_hybrid	score_bm25	score_vector	score_hybrid	top_review_1	top_review_2	top_review_3	relevance	note
Q1	khách sạn giá rẻ ở đà lạt	3000010042556	The Grace Hotel Dalat	Lâm Đồng	bm25,hybrid,vector	1	1	1	18.581511	23.793413	20.765491	Khách sạn ngay trung tâm, giá hợp lý, đi bộ ra chợ Đà Lạt gần. Phòng rộng rãi, nói chung là ok so với mức giá.	Khách sạn giá rẻ. Vị trí thuận tiện, gần chợ!	Khách sạn trung tâm, vị trí thuận tiện. Giá rẻ dành cho khách muốn tiết kiệm	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	3000020015788	Minh Chien Hotel	Lâm Đồng	bm25,hybrid,vector	2	3	2	16.192480	20.281622	18.470409	Đến Đà Lạt không chọn ở homestay mà chọn ở khách sạn nhưng giá rất hợp lý và mọi thứ cũng sạch sẽ. Lần sau sẽ tới với người yêu	Phòng ốc sạch sẽ, không mùi ẩm mốc. View thành phố, giá rẻ!	Tôi đã lưu trú tại khách sạn Minh Chiến lần thứ ba khi có dịp tới Đà Lạt. Khách sạn mới đẹp, có chổ đậu ô tô rộng rãi, giá rất hợp lý, phục vụ rất chuyên nghiệp, món ăn sáng và cà phê rất ngon, nhân viên ân cần, chu đáo, dễ thương. Nhưng đề nghị khách sạn tìm hiểu thêm về việc sạc ô tô điện vì đây là xu hướng của tương lai.	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000000817630	Pontus Hotel	Lâm Đồng	bm25,hybrid,vector	4	2	3	12.611766	21.046894	17.348513	Phòng sạch sẽ , nhân viên ks thân thiện nhiệt tình , nằm gần chợ , giá rẻ	Phòng giá rẻ nhưng lại ở tầng hầm. Mình hơi bất ngờ vì khách sạn không nêu rõ. Nếu là phòng ở tầng hầm thì ko bao giờ mình đặt. Mình đi xuống hầm nhận phòng thì như đi vào chỗ ở cùng người dọn dẹp.	Mình đọc và theo cảm nhận thì phòng ở đây cách âm không tốt lắm, nhưng bị phiền hay không thì cũng tuỳ vào lượt khách có lịch sự hay gây ảnh hưởng đến không gian yên tĩnh á, mình cũng tvia là ở rất ok, phòng ốc thấy mới và sạch sẽ nè, vị trí gần chợ và giá rẻ nữa, nên mình sẽ quay lại cho lần sau. À xéo xéo ks có tiệm hủ tiếu ăn sáng rất ngon nhé các bạn	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	3000020003055	Empress Da Lat Hotel	Lâm Đồng	bm25,hybrid,vector	3	8	4	12.691204	18.005556	15.879815	Mọi thứ ok , giá hợp lý , gần chợ, đã ở rất nhiều khách sạn ở đà lạt , vẫn thích nhất 1 chổ khác và Victory .	Nhân viên thân thiện, phòng có cửa sổ đẹp, giá rẻ, nệm êm, sạch sẽ, sang trọng	phòng sạch sẽ ,mọi thứ hầu như rất tuyệt vời khi tôi nghỉ ngơi ở đây ,hiện đại và không có mùi ẩm thấp là 1 điểm cực thích ,gần khu Hòa Bình phía sau chợ Đà Lạt có nhiều đồ ăn phong phú , khu vực siêu yên tĩnh, phòng ốc luôn gọn gàng nhân viên rất nhiệt tình dễ thương ,mình sẽ quay lại đây khi có dịp ,giá cả hợp lý lắm nhen	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	3000010030822	Le Recit Boutique Hotel de Dalat	Lâm Đồng	bm25,hybrid,vector	5	5	5	8.466892	19.480490	14.933970	Khách sạn mới, sang trọng, không gian cổ điển đẹp nhưng : Thứ 1: cách âm vô cùng tệ, cái giá tiền phải bỏ ra so với mặt bằng chung của khách sạn ở đà lạt thì cao hơn nhiều , nhưng cách âm thì VÔ CÙNG TỆ . Đi du lịch muốn nghỉ ngơi thư giãn thì nghe ở ngoài tiếng bước chân, sáng sớm thì nghe hoạt động của các phòng khác, đến nỗi phòng đối diện nói chuyện mà phòng mình còn nghe , vậy chất lượng 3 sao ở đâu và có xứng đáng với giá tiền??? Thứ 2: về đồ ăn thì cũng tạm so với số sao ( 6 món quầy +1 món nước + 1 trứng chiên + quầy tráng miệng) nhưng điều đáng nói là cho ăn bánh mỳ ở khúc cùi bánh ??? Cả một dĩa mình ăn 2 hôm đều chỉ có khúc cùi bánh , còn giữa bánh ở đâu ??? Hôm đầu mình đặt thì chỉ thấy 1 cmt khen nên nghĩ rất ok và đặt sau mấy hôm nay ở và xem lại đánh giá thì ai cũng có câu chê , thật sự rất thất vọng .	Mình săn phòng trên traveloka được giá khá tốt và có nhắn tin cho bên khách sạn để confirm, phòng mình đặt hạng suite giá gốc 1tr9. Khách sạn sạch sẽ, thơm, có 2 bạn nam hỗ trợ hành lý nhiệt tình, vị trí tốt, tuy nhiên có vài điều mình cảm thấy rất khó chịu. - Thứ nhất: phòng ghi diện tích 33m2 là hoàn toàn sai, khá chật. - Thứ 2: phòng hư đèn bàn trang điểm và hư khoá cửa toilet, cửa sổ lớn thì bám bụi cực dơ, suy ra không hề có view gì hết. - Thứ 3: khách sạn có thể yêu cầu quy định 14h nhận phòng, nhưng chắc chắn dùm mình, phòng có sẵn rồi hứa hẹn có thể giao sớm, tất cả mọi người chờ đầy ở sảnh, có gia đình người lớn tuổi, trẻ nhỏ, nhân viên đồng loạt đúng 14h mới cho nhận phòng, rất mất thời gian và không hề có thiện chí với khách hàng, mặc dù sẵn phòng. Điều này là điều tồi tệ nhất mà tôi sẽ không bao giờ quay lại khách sạn này một lần nào nữa. - Thứ 4: ban đầu mình được sắp xếp phòng khác, sau cùng là phòng khác, nhìn phòng với ảnh pr của khách sạn đúng khác, cũng chẳng biết hay do mình săn được giá rẻ mà khách sạn tuỳ tiện làm vậy, tình trạng phòng quay lại điều 2. Tóm lại: giá quá đắt, không đáng.	Khách sạn sang trọng, nhân viên nhiệt tình tận tâm	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	3000020020070	New Life Hotel Dalat	Lâm Đồng	bm25,hybrid,vector	7	6	6	6.180498	18.918133	13.823079	Khách sạn có view nhìn thành phố rất đẹp, giá cả hợp lý, đi lại thuận tiện. Tôi sẽ ở thêm lần nữa	Nhân viên thân thiện, nhiệt tình, dễ chịu, cơ sở không kém 5 sao bao nhiêu! Rất ổn để quay lại!	phòng sạch đẹp, nhân viên nhiệt tình, dịch vụ tốt, giá cả hợp lý, địa điểm gần nhiều điểm vui chơi	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000001207029	Khách sạn Goldient Boutique	Lâm Đồng	hybrid,vector		7	7		18.155794	11.512290	Khách sạn có thiết kế độc đáo, mang phong cách boutique tinh tế. Không gian sảnh và hành lang rất đẹp, cảm giác như một resort thu nhỏ giữa trung tâm. Dịch vụ ổn, nhân viên lịch sự, tuy nhiên bữa sáng có thể cải thiện thêm một chút. Tổng thể là một trải nghiệm dễ chịu. 🌿	Khách sạn mới, nội thất thấy nhiều thương hiệu cao cấp của Đức. Phục vụ và dịch vụ chu đáo. Ăn sáng bình thường. Có hồ bơi nước ấm phù hợp trẻ nhỏ. Gần trung tâm và nhà xe Phương Trang. Khách đa phần là nước ngoài. Đã ghé hai lần thấy ok!	Đã đến đây lần thứ 5, mỗi lần ở 2,3 đêm... Ngoại trừ đồ ăn sáng dù thay đổi món nước hàng ngày, ăn cũng vừa miệng, cũng như các khách sạn khác là các món cơ bản, ăn miết rồi sẽ ngán, mình nghĩ món nóng nước gia tăng thêm lựa chọn thành 2 món... Ví dụ bánh mì xíu mại... khách sạn sạch, nhân viên nhiệt tình... Có chỗ đậu ô tô, có cho thuê xe máy, đặc biệt hồ bơi nước ấm phù hợp với con nít... Sân vườn bên dưới đẹp nhưng chưa tận dụng được... Cần thêm đèn thêm bông thêm ghế. Với lại chỉnh cái đèn năng lượng mặt trời cắm xuống đất xíu hợp lý hơn. Nói chung khuyến nghị mọi người nên ở thử nhé...	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000001135521	GreenEco Da Lat Hotel	Lâm Đồng	bm25,hybrid,vector	8	9	8	4.737411	13.754857	10.147878	Giá cả hợp lý so với những gì khách sạn mang lại. Thật sự rất nên thử, mình thấy cơ sở vật chất rất mới, nhân viên thân thiện. Phòng rất rộng	Khách sạn phòng ốc và nội thất đều sạch sẽ tiện nghi, nhân viên lễ tân, buồng phòng và nhà hàng đều rất nhiệt tình hỗ trợ khách. Hơi tiếc một chút là buffet sáng tại khách sạn hơi ít món, hình như chỉ nhiều món vào ngày Chủ nhật. Phòng mình ở nước tắm không biết vì sao lúc nóng lúc lạnh đột ngột. Còn lại mọi thứ đều ổn, đánh giá 5 sao 🫶🏻	Nhân viên lễ tân tốt, nhiệt tình, phòng ok sạch sẽ, đồ ăn ngon giá hợp lý, lần tới sẽ quay lại đây ạ.	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000001041950	Tala Dalat Hotel	Lâm Đồng	bm25,hybrid,vector	6	10	9	7.744929	10.187859	9.210687	Thêm ưu đãi thì giá quá hợp lý cho phòng ban công đẹp, view đẹp có ăn sáng ngon ở Đà Lạt. Nhất định sẽ quay lại	Gia đình tôi ở 3 đêm sau khi book qua Traveloka. Giá phòng có ban công City view qua Traveloka rất hợp lý (tương đương 450k/đêm cuối tuần). Trang thiết bị phòng đầy đủ và sạch sẽ. Chỗ để xe ô tô và xe máy rộng rãi và an toàn. Điểm trừ là bảng giá niêm yết phòng của Tala cao quá (cao hơn nhiều so với giá mua qua Traveloka)	Book được khách sạn có chiếc view rất đã, vô cùng ưng ý. Dịch vụ chăm sóc khách tuyệt vời, từ các bạn lễ tân đến chị tạp vụ. Mọi thứ hoàn hảo. Giá phòng rất tốt trong khi dịch vụ nhận được cao cấp hơn gấp 10 lần. Lần sau đến mình sẽ tiếp tục chọn Tala. Cảm ơn team Tala nhé!	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000005711683	New Memories Hotel DaLat	Lâm Đồng	hybrid			10			6.204132	Khách sạn thiết kế đẹp, tiện nghi. Chăm chút từng chi tiết, có bàn ủi, phòng tắm rộng. Giá hợp lý, di chuyển thuận tiện	Phòng ốc sạch sẽ, thiết kế hiện đại và ấm cúng. Ban công view núi rất chill, đặc biệt thích bồn tắm ngoài trời siêu thư giãn. Giường nệm êm, đầy đủ tiện nghi. Vị trí yên tĩnh, dễ di chuyển vào trung tâm. Giá hợp lý, rất đáng để quay lại! 🌿✨		1	location_or_generic_match
