query_id,query,hotel_id,hotel_name,location,relevance,note,query_location,query_categories,query_descriptors,bm25_rank,bm25_score,vector_rank,vector_score,hybrid_rank,hybrid_score,bm25_loc_match,vector_loc_match,hybrid_loc_match,bm25_desc_match,vector_desc_match,hybrid_desc_match,bm25_cat_match,vector_cat_match,hybrid_cat_match
Q1,khách sạn giá rẻ ở đà lạt,3000010042556,The Grace Hotel Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,1,3.961722,3,5.289418,1,8.163550,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,9000000817630,Pontus Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,2,2.643318,4,5.112984,2,7.425212,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000020010764,The Luxe Hotel Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,4,1.921456,1,5.655158,3,7.029402,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000020015788,Minh Chien Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,5,1.859434,2,5.311323,4,6.755455,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,9000001207029,Khách sạn Goldient Boutique,Lâm Đồng,1,strong_match,lâm_đồng,budget,,3,2.133067,7,4.742715,5,6.599370,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000020003055,Empress Da Lat Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,6,1.328258,,,6,5.749946,True,False,True,True,False,True,True,False,True
Q1,khách sạn giá rẻ ở đà lạt,1000000490882,Terracotta Hotel & Resort Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,8,0.747990,5,4.886469,7,5.573877,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,9000000975119,TTR Skypool View Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,7,0.862493,9,4.517000,8,5.499355,True,True,True,True,True,True,True,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000020020070,New Life Hotel Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,,,6,4.861894,9,5.430767,False,True,True,False,True,True,False,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000010030822,Le Recit Boutique Hotel de Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,,,10,4.514151,10,5.178362,False,True,True,False,True,True,False,True,True
Q1,khách sạn giá rẻ ở đà lạt,3000020020235,Saigon's Book - Dalat,Lâm Đồng,1,strong_match,lâm_đồng,budget,,10,0.591074,,,,,True,False,False,True,False,False,True,False,False
Q1,khách sạn giá rẻ ở đà lạt,9000001041950,Tala Dalat Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,9,0.688095,,,,,True,False,False,True,False,False,True,False,False
Q1,khách sạn giá rẻ ở đà lạt,3000020015990,Nesta Valley Dalat Hotel - Formerly Golf Valley Hotel,Lâm Đồng,1,strong_match,lâm_đồng,budget,,,,8,4.564603,,,False,True,False,False,True,False,False,True,False
Q2,homestay bình dân tại sapa,3000020016046,HillSide Sapa,Lào Cai,1,strong_match,sapa,,homestay,1,2.899297,4,4.038679,1,6.244831,True,True,True,True,True,True,False,False,False
Q2,homestay bình dân tại sapa,9000000095241,Sapa Eco Villas & Spa,Lào Cai,1,strong_match,sapa,,homestay,4,2.297061,1,4.187399,2,6.172078,True,True,True,True,True,True,False,False,False
